ID,State,Week,Original FICO Score,Latest FICO Score,"Dlq 
Days",Purchase Price,Down Payment,"Original
Principal
Balance","Current
Principal 
Balance",Total Amount Due,"Total
NSF
Due",Total Late Charges Due,Payoff Amount,"Current 
Payment 
Amount","Current 
Rate","Current 
Term",Term Paid,"Total Maintenance
Fee
Balance Due","Payment
Type","Payment
Due Day",Times Late,Times DLQ,Times Defaulted
254,NC,16,764,698,-5,"14,900.00","1,490.00","13,410.00","10,792.53",-,-,-,"10,900.87",250.56,13.9,84,24,-721,AUTO DEBIT,5,1,0,0
255,CT,11,667,583,-5,"10,250.00","1,025.00","9,225.00","4,661.01",-,-,-,"4,711.16",165.01,14.9,96,61,-,AUTO DEBIT,5,0,0,0
256,SC,34,790,794,-25,"11,100.00","1,110.00","9,990.00","5,457.65",-,-,-,"5,470.30",154.51,13.9,120,74,-,AUTO DEBIT,25,0,0,0
257,SC,52,683,724,-25,"14,900.00","1,490.00","13,410.00","9,253.14",-,-,-,"9,273.03",304.43,12.9,60,23,7.76,AUTO DEBIT,25,0,0,0
258,NC,38,682,564,158,"16,750.00","1,675.00","15,075.00","14,102.11","1,572.81",90,29.08,"15,680.26",242.29,14.9,120,17,"1,532.25",COUPON,25,11,10,2
259,GA,37,566,583,-5,"9,700.00",970,"8,730.00","5,499.70",-,-,-,"5,554.91",163.12,13.9,84,41,484.8,AUTO DEBIT,5,0,0,0
260,SC,51,766,698,-25,"9,800.00",980,"8,820.00","6,720.53",-,-,-,"6,824.51",157.77,14.9,96,34,-,COUPON,25,8,2,0
261,NC,28,780,736,-25,"11,600.00","5,000.00","6,600.00","3,364.76",-,-,-,"3,370.87",112.66,10.9,84,49,-,AUTO DEBIT,25,0,0,0
262,NY,37,457,523,-5,"11,250.00","1,125.00","10,125.00","7,158.57",10.87,-,10.87,"7,246.48",181.11,14.9,96,39,-,COUPON,5,14,9,0
263,NC,39,541,614,-5,"9,700.00",970,"8,730.00","5,534.52",9.37,-,9.37,"5,603.45",156.16,14.9,96,49,-,AUTO DEBIT,5,0,0,0
264,VA,34,594,633,-5,"14,900.00","1,490.00","13,410.00","9,814.84",-,-,-,"9,920.46",239.87,14.9,96,38,-,COUPON,5,3,0,0
265,NC,48,663,636,-20,"7,500.00",750,"6,750.00","4,328.52",-,-,-,"4,346.91",126.12,13.9,84,40,-19.63,AUTO DEBIT,20,0,0,0
266,VA,1,608,623,750,"8,990.00",899,"8,091.00","8,041.46","3,800.53",-,182.28,"10,594.23",144.73,14.9,96,1,"2,548.33",COUPON,10,14,13,10
267,NC,24,702,550,51,"11,600.00","1,160.00","10,440.00","7,503.84",425.92,30,22.42,"7,805.02",186.75,14.9,96,40,603.31,COUPON,10,4,2,0
268,VA,17,715,769,-5,"15,300.00","1,530.00","13,770.00","6,305.66",-,-,-,"6,373.52",246.31,14.9,96,65,-,AUTO DEBIT,5,0,0,0
269,NY,1,657,658,-1,"6,100.00",610,"5,490.00","3,470.46",12.7,-,12.7,"3,532.04",111.88,16.9,84,37,-,COUPON,1,13,0,0
270,SC,21,584,657,-5,"11,100.00","2,220.00","8,880.00","1,602.33",-,-,-,"1,616.10",156.28,11.9,84,73,-,AUTO DEBIT,5,0,0,0
271,NC,15,618,689,25,"8,800.00",880,"7,920.00","1,496.05",156.86,-,8.88,"1,535.97",147.98,13.9,84,73,375.33,COUPON,5,1,0,0
272,NC,21,650,603,364,"8,450.00",845,"7,605.00","2,836.06","1,837.56",30,102.36,"3,329.05",142.1,13.9,84,61,983.22,COUPON,1,12,12,9
273,SC,17,605,631,-3,"11,500.00","1,150.00","10,350.00","5,891.48",0.08,-,-,"5,955.17",160.08,13.9,120,72,536.77,COUPON,25,10,0,0
274,GA,3,458,557,674,"6,200.00",620,"5,580.00","4,968.44","2,820.01",-,296.45,"7,335.34",109.72,17.9,96,18,"2,423.02",COUPON,25,15,14,11
275,NC,3,678,654,-25,"6,200.00",620,"5,580.00","3,910.20",-,-,-,"3,919.91",99.81,14.9,96,42,"1,150.92",AUTO DEBIT,25,2,2,0
276,NC,8,789,800,-15,"7,700.00",770,"6,930.00","4,596.99",-,-,-,"4,625.39",129.49,13.9,84,38,-,AUTO DEBIT,15,0,0,0
277,NC,47,782,803,-10,"15,900.00","1,590.00","14,310.00","9,436.22",-,-,-,"9,534.75",281.37,17.9,96,49,522.45,COUPON,10,10,1,0
278,OH,32,793,728,-15,"17,000.00","1,700.00","15,300.00","7,552.54",-,-,-,"7,602.56",273.68,14.9,96,62,-,AUTO DEBIT,15,0,0,0
279,MD,29,695,590,-25,"15,700.00","1,570.00","14,130.00","10,527.13",-,-,-,"10,553.27",252.75,14.9,96,37,363.32,AUTO DEBIT,25,0,0,0
280,NC,3,606,558,-25,"6,200.00",620,"5,580.00","3,960.83",-,-,-,"3,970.67",99.81,14.9,96,41,541.97,AUTO DEBIT,25,0,0,0
281,NC,17,527,601,-20,"10,150.00","1,015.00","9,135.00","7,251.23",-,-,-,"7,288.67",186.15,16.9,84,27,-,AUTO DEBIT,20,0,0,0
282,NC,16,769,531,-25,"14,900.00","4,470.00","10,430.00","5,573.16",-,-,-,"5,583.28",178.04,10.9,84,47,-,AUTO DEBIT,25,0,0,0
283,VA,19,766,788,-20,"18,500.00","1,850.00","16,650.00","8,962.61",-,-,-,"9,000.68",257.52,13.9,120,75,-,AUTO CREDIT,20,1,0,0
